No.,"Issue
Date",Contents,Author,URL
第58卷584期,20220801,今昔歷史照片回顧紀錄,編輯部,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷583期,20220607,我武維揚—岡南屏障的少康部隊,黃盈福、吳蕙繻,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷583期,20220607,虎嘯龍陵、關渡衛戍—虎嘯部隊的榮耀歷史,游孟憲,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷583期,20220607,榮耀輝煌繫大漢、發揚忠誠之軍風,謝榮昇、鄭銘儀,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷583期,20220607,中共在後新冠肺炎世界的戰略目標,劉宗翰,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷583期,20220607,探討習近平時期之軍隊文職人員制度,謝游麟,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷583期,20220607,共軍兩棲合成旅突擊登陸戰法之研究—以2020年東南海域聯合登島演練為例,陳俊丞、吳光中,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷583期,20220607,榮耀黃埔人 ,"羅際琴,高天瑞,陸保華,余永章",https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷582期,20220408,發揚熾盛火力—砲兵部隊嚴考精訓之光榮傳承,雷智欽,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷582期,20220408,但使龍城飛將在，不教胡馬渡陰山,郭俊佑,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷582期,20220408,威「鎮」國「疆」—發揮「同島一命」神聖意涵,陳沛杉,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷582期,20220408,多領域戰鬥—廿一世紀戰爭新型態,鄧炘傑,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷582期,20220408,2030年戰略情勢之判斷—臺海危機可能性,曾祥穎,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷582期,20220408,回顧1950～1970年美日德軍事顧問團對國軍反登陸作戰建議之研究 —兼論對國軍防衛作戰之啟示,溫培基、謝志淵,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷582期,20220408,戰力與決心的統合—登步島作戰之啟示,曾柏元,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷582期,20220408,溫故知新—研究古戰史成敗因素，對現代戰爭之啟示,談秉澄,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷581期,20220126,我武維揚－傳承誠實部隊軍魂精神，榮耀歷史見證,高明弘,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷581期,20220126,培育優質卓越工兵－金陵部隊光榮隊史之回顧與體認,林佳躍,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷581期,20220126,我武維揚－傳承崑崙部隊堅實精神，榮耀歷史見證,李明學,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷581期,20220126,國軍軍隊管理的挑戰與因應,萬文卓,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷581期,20220126,探討《孫子兵法》制勝之道：從形到勢,謝游麟,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷581期,20220126,中日「松山之役」對我野戰用兵之啟示,蔡忠祺,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷581期,20220126,「曼陀羅(九宮格)思考法」運用於陸軍學院指參教育之研究,蕭英煜,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷581期,20220126,國軍遷臺後陸軍指參教育的改制與整併—民國38～58年,王懷慶,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第58卷581期,20220126,新年道賀,編輯部,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第57卷580期,20211207,支前安後、主動服務－發揚承勤部隊麒麟精神,韋厚存,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第57卷580期,20211207,我武維揚－傳承漢陽部隊軍魂精神，榮耀歷史見證,葉智瑤,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第57卷580期,20211207,我武維揚－傳承金鷹部隊軍魂精神，榮耀歷史見證,陳亮宏,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第57卷580期,20211207,中英對照－虛實篇,黎明文化出版社授權刊登,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第57卷580期,20211207,憶念黃埔老師－我所認識的劉寧善將軍,黃奕炳,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第57卷580期,20211207,中共戰略支援部隊功能發展與對我資訊戰影響之研究,朱鋕德、李建鵬,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第57卷580期,20211207,淺談美國陸軍「作戰進程」之持續判斷作為,唐泰禧、陳鈞奎,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第57卷580期,20211207,民國28年（1939）桂南會戰之崑崙關戰鬥研究-兼論對國軍防衛作戰之啟示,謝志淵,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第57卷580期,20211207,逢山開路，遇水架橋,陳威霖、張中任、李致祥 、蔡俊德、黃彥儒、陳永立、方麒凱、涂信任、洪存助,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第57卷579期,20211008,我武維揚—傳承黃龍部隊軍魂精神，榮耀歷史見證,陳桂蘭,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第57卷579期,20211008,我武維揚—傳承天雷部隊軍魂精神，榮耀歷史見證,郭仲川,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第57卷579期,20211008,一柱擎天—傳承擎天部隊一夫當關精神，見證歷史榮光,吳文川,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第57卷579期,20211008,紀念古寧頭戰役勝利72周年歷史照片回顧,編輯部主編　余永章備役上校,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第57卷579期,20211008,戰場發展計畫：為美陸軍現代化作為提供整體戰役評估　譯,劉宗翰,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
第57卷579期,20211008,「學思達教學法」運用之研究 —以「共軍聯合戰役理論研究」課程為例 ,蕭英煜,https://www.mnd.gov.tw/PublishMPPeriodical.aspx?title=%u8ecd%u4e8b%u520a%u7269&id=7
